67.194.245.27 - - [04/Oct/2012:00:01:39 -0400] "GET /dashboard HTTP/1.1" 302 3789 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
99.9.114.85 - mmanty [04/Oct/2012:07:15:03 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:12 -0400] "GET /assignments/114 HTTP/1.1" 304 917 "https://www.gradecraft.com/assignments" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:13 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:19 -0400] "GET /assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter HTTP/1.1" 200 3732 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:19 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:24 -0400] "GET /assignments/114/assignment_submissions/new?user_id=129 HTTP/1.1" 500 1028 "https://www.gradecraft.com/assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:32 -0400] "GET /assignments/114 HTTP/1.1" 304 1062 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:33 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:41 -0400] "GET /assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter HTTP/1.1" 304 917 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:42 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:55 -0400] "GET /assignments/114/grades/new?gradeable_id=129&gradeable_type=User HTTP/1.1" 200 7716 "https://www.gradecraft.com/assignments/114?utf8=%E2%9C%93&assignment_id=114&team_id=5&commit=Filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:56 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=129&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:57 -0400] "GET /assignments/114/grades/lib/css/wysiwyg-color.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=129&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:57 -0400] "GET /assets/fontawesome-webfont.eot? HTTP/1.1" 200 39140 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:15:57 -0400] "GET /assets/fontawesome-webfont.woff HTTP/1.1" 200 42180 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:20 -0400] "POST /assignments/114/grades HTTP/1.1" 302 1813 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=129&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:21 -0400] "GET /assignments/114 HTTP/1.1" 200 10745 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=129&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:22 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:43 -0400] "GET /assignments/114/grades/new?gradeable_id=95&gradeable_type=User HTTP/1.1" 200 7861 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:44 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=95&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:16:44 -0400] "GET /assignments/114/grades/lib/css/wysiwyg-color.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/assignments/114/grades/new?gradeable_id=95&gradeable_type=User" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.43.54 - - [04/Oct/2012:07:21:37 -0400] "GET /dashboard HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
99.9.114.85 - mmanty [04/Oct/2012:07:22:55 -0400] "GET /dashboard HTTP/1.1" 200 6845 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:22:55 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:00 -0400] "GET /users/112 HTTP/1.1" 200 5748 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:01 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/users/112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:01 -0400] "GET /users/predictor.json?in_progress=true&user_id=112 HTTP/1.1" 200 1594 "https://www.gradecraft.com/users/112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:02 -0400] "GET /users/predictor.json?user_id=112 HTTP/1.1" 200 4838 "https://www.gradecraft.com/users/112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:11 -0400] "GET /users/predictor?user_id=112 HTTP/1.1" 200 5652 "https://www.gradecraft.com/users/112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:11 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/users/predictor?user_id=112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:12 -0400] "GET /assets/images/bg_direction_nav.png HTTP/1.1" 200 2778 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:12 -0400] "GET /assets/theme/bg_control_nav.png HTTP/1.1" 404 1044 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:12 -0400] "GET /assets/jquery-ui/ui-bg_flat_75_ffffff_40x100-841636c8f8d33987bb8d2f31e8ef92ca.png HTTP/1.1" 200 538 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:12 -0400] "GET /assets/jquery-ui/ui-bg_glass_75_e6e6e6_1x400-3e20bce1b7b2f5dd47ca6ac361805162.png HTTP/1.1" 200 474 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:23 -0400] "GET /assets/jquery-ui/ui-bg_glass_75_dadada_1x400-38ed9f33e066d6bee977c567d4b03650.png HTTP/1.1" 200 474 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:27 -0400] "GET /assets/jquery-ui/ui-bg_glass_65_ffffff_1x400-a30aa544902182c133dbb46ac40a08d2.png HTTP/1.1" 200 458 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:33 -0400] "GET /users/112/user_assignment_type_weights/new?assignment_type_id=8 HTTP/1.1" 200 3108 "https://www.gradecraft.com/users/predictor?user_id=112" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:34 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/users/112/user_assignment_type_weights/new?assignment_type_id=8" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:39 -0400] "GET /dashboard HTTP/1.1" 304 917 "https://www.gradecraft.com/users/112/user_assignment_type_weights/new?assignment_type_id=8" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:40 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:47 -0400] "GET /users/361 HTTP/1.1" 200 5620 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:48 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/users/361" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:48 -0400] "GET /users/predictor.json?in_progress=true&user_id=361 HTTP/1.1" 200 1594 "https://www.gradecraft.com/users/361" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:48 -0400] "GET /users/predictor.json?user_id=361 HTTP/1.1" 200 1739 "https://www.gradecraft.com/users/361" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:54 -0400] "GET /users/predictor?user_id=361 HTTP/1.1" 200 5508 "https://www.gradecraft.com/users/361" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:56 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/users/predictor?user_id=361" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:07:23:56 -0400] "GET /assets/theme/bg_control_nav.png HTTP/1.1" 404 1044 "https://www.gradecraft.com/assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.43.54 - - [04/Oct/2012:07:28:54 -0400] "GET /dashboard HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - - [04/Oct/2012:07:28:55 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=mIdNCiqTzeefsxaVSnaKPzIp7ekC7QrDXZq2ALIlpbZi8PQnFPshDyXe78eP03Qszv5k7B+UxdXg7imlCfpRZkfZg97f75j7B0c9IJxDDpf5jKxou1MXqAgnzQMq&https://www.gradecraft.com/dashboard HTTP/1.1" 301 900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:55 -0400] "GET /dashboard HTTP/1.1" 200 5092 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 200 47118 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 200 204185 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/always_learning.png HTTP/1.1" 200 3066 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/presentation_of_self.png HTTP/1.1" 200 5498 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/above_and_beyond.png HTTP/1.1" 200 6379 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/awesome_aggregator.png HTTP/1.1" 200 5803 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/great_critic.png HTTP/1.1" 200 5451 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/teachers_pet.png HTTP/1.1" 200 3194 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/concentrator.png HTTP/1.1" 200 3594 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/courageous_failure.png HTTP/1.1" 200 8410 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/early_bird_special.png HTTP/1.1" 200 4602 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/examination_expert.png HTTP/1.1" 200 4042 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/gamer.png HTTP/1.1" 200 4378 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/gaining_experience.png HTTP/1.1" 200 8458 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/learning_from_mistakes.png HTTP/1.1" 200 8362 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/level_one.png HTTP/1.1" 200 4458 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/personal.png HTTP/1.1" 200 4474 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/participatory_democrat.png HTTP/1.1" 200 5354 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/practice_makes_perfect.png HTTP/1.1" 200 6010 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/public_speaker.png HTTP/1.1" 200 5482 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/scribe.png HTTP/1.1" 200 3002 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 200 5994 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /badges/pos101/times_immemorial.png HTTP/1.1" 200 5722 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /users/predictor.json?user_id=228 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.43.54 - wkujo [04/Oct/2012:07:28:56 -0400] "GET /users/predictor.json?in_progress=true&user_id=228 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.46.22 - - [04/Oct/2012:07:33:34 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.57.5 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.4"
67.194.46.22 - - [04/Oct/2012:08:00:25 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.57.5 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.4"
67.194.46.22 - - [04/Oct/2012:08:01:19 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.57.5 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.4"
99.9.114.85 - mmanty [04/Oct/2012:08:09:17 -0400] "GET / HTTP/1.1" 200 6845 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
99.9.114.85 - mmanty [04/Oct/2012:08:09:18 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.46.22 - - [04/Oct/2012:08:15:20 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.57.5 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.4"
67.194.113.83 - - [04/Oct/2012:08:22:22 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; en-us) AppleWebKit/530.19.2 (KHTML, like Gecko) Version/4.0.2 Safari/530.19"
99.150.166.183 - - [04/Oct/2012:08:24:05 -0400] "GET /dashboard HTTP/1.1" 302 3789 "https://www.gradecraft.com/assignments/114" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
99.150.166.183 - - [04/Oct/2012:08:24:11 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=VwxRscimjIRmiB95kJgK7yQNL6A6vq26g1YcqxOoulUVF+EPieGFHr0TjDBvEmkLNxPORiVGRR2mtBePF4rtvldFuCo-muQmiuWySxLPcPzS+ubplwiIMi3PP2lC&https://www.gradecraft.com/dashboard HTTP/1.1" 301 900 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
99.150.166.183 - cholma [04/Oct/2012:08:24:11 -0400] "GET /dashboard HTTP/1.1" 200 4084 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
